model,intercept,intercept_uncertainty,q0,q0_uncertainty,chi2,ndf,reduced_chi2,p_value,delta_chi2,delta_parameters,delta_chi2_p_value
Hubble law,24.019219514657504,0.005113834580261769,,,1196.526112309576,629,1.902267269172617,9.719374017926662e-38,548.461523925979,1.0,2.720645931860613e-121
Cosmographic,23.805623442483597,0.010671936863935022,-0.4371856394130092,0.06717500956866582,648.0645883835971,628,1.031949981502543,0.2812951073378135,,,
